,"(Also Known As..., Alias)","(Audio, Audio brand)","(Audio, Speakers)","(Audio, Subwoofer)","(Audio, Surround sound)","(Basic Specs, 3D enabled)","(Basic Specs, Base discrete GPU brand)","(Basic Specs, CPU brand)","(Basic Specs, CPU family)","(Basic Specs, Carrier options)","(Basic Specs, Graphics type)","(Basic Specs, Integrated GPU model)","(Basic Specs, Laptop type)","(Basic Specs, Operating system)","(Basic Specs, Optical drive type)","(Basic Specs, Screen size (diagonal))","(Basic Specs, The Verge Battery Test)","(Basic Specs, Thickness)","(Basic Specs, Touch technology)","(Basic Specs, Weight)","(Battery, Chemistry)","(Battery, Quoted time)","(Battery, Removable)","(Battery, Size)","(Benchmarks, 3DMark06 (GPU))","(Benchmarks, 3DMark06 (IGP))","(Benchmarks, 3DMark11 (GPU))","(Benchmarks, 3DMark11 (IGP))","(Benchmarks, 3DMarkVantage (GPU))","(Benchmarks, 3DMarkVantage (IGP))","(Benchmarks, GeekBench)","(Benchmarks, HAWX)","(Benchmarks, Just Cause 2)","(Benchmarks, PCMarkVantage)","(Benchmarks, The Verge Battery Test)","(Benchmarks, The Verge Battery Test (extended battery))","(Benchmarks, XBench)","(Bundled Accessories, Bundled Accessories)","(Connectivity, 3G)","(Connectivity, 4G)","(Connectivity, 802.11n frequencies)","(Connectivity, Bluetooth)","(Connectivity, Bluetooth version)","(Connectivity, CDMA)","(Connectivity, Carrier options)","(Connectivity, GPS)","(Connectivity, GSM)","(Connectivity, LTE)","(Connectivity, NFC)","(Connectivity, Other carrier options)","(Connectivity, WWAN data standards supported)","(Connectivity, Wi-Fi)","(Connectivity, Wi-Fi options)","(Connectivity, WiMAX)","(Connectivity, Wireless video)","(Display (base), 3D enabled)","(Display (base), Backlight)","(Display (base), Display surface)","(Display (base), Multitouch)","(Display (base), PPI)","(Display (base), Resolution (X))","(Display (base), Resolution (Y))","(Display (base), Screen size (diagonal))","(Display (base), Technology)","(Display (base), Touch technology)","(Display (max), 3D enabled)","(Display (max), Backlit)","(Display (max), Multitouch)","(Display (max), PPI)","(Display (max), Resolution (X))","(Display (max), Resolution (Y))","(Display (max), Size (diagonal))","(Display (max), Technology)","(Display (max), Touch technology)","(GPU (base), Base discrete GPU brand)","(GPU (base), Dedicated VRAM size)","(GPU (base), Discrete GPU model)","(GPU (base), Graphics type)","(GPU (base), Integrated GPU brand)","(GPU (base), Integrated GPU model)","(GPU (base), SLI / Crossfire)","(GPU (max), Dedicated VRAM size)","(GPU (max), Discrete GPU brand)","(GPU (max), Discrete GPU model)","(GPU (max), Integrated GPU brand)","(GPU (max), Integrated GPU model)","(GPU (max), SLI / Crossfire)","(Hardware, Color)","(Hardware, Depth)","(Hardware, Laptop type)","(Hardware, Thickness)","(Hardware, Weight)","(Hardware, Width)","(Keyboard, Backlit)","(Keyboard, Number pad)","(Keyboard, Type)","(Memory, Base RAM size)","(Memory, Base RAM speed)","(Memory, Max. config RAM size)","(Memory, RAM slots)","(Memory, RAM type)","(Mouse, Multitouch)","(Mouse, Multitouch points)","(Mouse, Type(s))","(Optical Drive, Compatible media)","(Optical Drive, Optical drive type)","(Port options, 3.5mm digital optical audio (S/PDIF))","(Port options, 3.5mm headphone)","(Port options, 3.5mm line-in / microphone)","(Port options, 3.5mm mic / headphone combo)","(Port options, Card slot(s))","(Port options, Combo eSATA / USB)","(Port options, DVI)","(Port options, Digital optical audio (S/PDIF))","(Port options, DisplayPort)","(Port options, DisplayPort++)","(Port options, Docking connector)","(Port options, Ethernet)","(Port options, Ethernet type)","(Port options, FireWire 400)","(Port options, FireWire 800)","(Port options, HDMI)","(Port options, HDMI input(s))","(Port options, Micro DVI)","(Port options, Micro HDMI)","(Port options, Mini DVI)","(Port options, Mini DisplayPort)","(Port options, Mini HDMI)","(Port options, Mini VGA)","(Port options, Other)","(Port options, Proprietary (data))","(Port options, Thunderbolt)","(Port options, USB)","(Port options, USB 3.0)","(Port options, VGA)","(Port options, eSATA)","(Processor (base), CPU brand)","(Processor (base), CPU family)","(Processor (base), Clockspeed)","(Processor (base), Cores)","(Processor (base), Model)","(Processor (base), Turbo clockspeed)","(Processor (max), Brand)","(Processor (max), Clockspeed)","(Processor (max), Cores)","(Processor (max), Family)","(Processor (max), Model)","(Processor (max), Turbo clockspeed)","(Reference, Brand)","(Reference, Name)","(Reference, url)","(Security, Trusted platform module)","(Sensors, Accelerometer)","(Sensors, Ambient light)","(Sensors, Biometric scanner)","(Sensors, Proximity )","(Software, Notable apps)","(Software, Operating system)","(Storage, Base drive capacity)","(Storage, Base drive type)","(Storage, Card reader)","(Storage, Card reader support)","(Storage, Max. config HDD)","(Storage, Max. config Hybrid)","(Storage, Max. config SSD)","(Storage, Options)","(Webcam, Effective pixels)","(Webcam, Video framerate)","(Webcam, Video resolution)"
IdeaPad Y460p,,"JBL, Dolby Home Theater Surround Sound",2,,Yes,,,Intel,Sandy Bridge,,,,Mainstream,Windows 7,Tray-loading,14 inches,,1.33 inches,,4.85 pounds,,3.5 hr,Yes,6 cell,,,,,,,,,,,,,,,,,,Optional,,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Glossy,,,1366 px,768 px,14 inches,,,,,,,,,,,,,,,,,,,1 GB,AMD,Radeon HD 6550M,,,,"Gray / Black, Gray / White / Black",9.25 inches,Mainstream,1.33 inches,4.85 pounds,13.39 inches,,No,Standard,,1066 MHz,8 GB,,DDR3,Yes,,Trackpad,"DVD Super Multi, BD Combo",Tray-loading,,1,1,,,1,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.5 GHz,4,Sandy Bridge,Core i7-2920XM,3.5 GHz,Lenovo,IdeaPad Y460p,http://www.theverge.com/products/ideapad-y460p/602,,,Yes,,,,Windows 7,250 GB,HDD (5400RPM),Yes,"SD, Memory Stick, xD, MMC",1000 GB,1064 GB,64 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD), Hybrid Drive",1.3 megapixels,,
ProBook 6465b,,SRS Premium Sound,2,,,,,AMD,,"Verizon Wireless, Sprint, AT&T",Integrated,Radeon HD 6480G,Mainstream,"Windows 7, Windows Vista, Linux, Other",Tray-loading,14 inches,,1.34 inches,,4.46 pounds,Lithium Ion (Li-Ion),,Yes,55 Wh,,,,,,,,,,,,,,,Optional,,,Yes,2.1 + EDR,Optional,"Verizon Wireless, Sprint, AT&T",Yes,Optional,,,Motorola,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,,,,1600 px,900 px,,,,,,,Integrated,AMD,Radeon HD 6480G,,,,,AMD,Radeon HD 6520G,,Black,9.11 inches,Mainstream,1.34 inches,4.46 pounds,13.31 inches,,No,Chiclet,4 GB,1333 MHz,,2,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD Super Multi, BD Combo",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54",1,,,1,,Yes,1,10/100/1000 (Gigabit),1,,,,,,,,,,,,,3,,1,,AMD,,2.1 GHz,2,A4-3310MX,2.5 GHz,AMD,1.6 GHz,4,,A6-3410MX,2.3 GHz,HP,ProBook 6465b,http://www.theverge.com/products/probook-6465b/601,Yes,Yes,,,,,"Windows 7, Windows Vista, Linux, Other",320 GB,HDD (7200RPM),Yes,"SD, MMC",1 TB,,160 GB,"HDD (7200RPM), Flash Memory (SSD)",,,720p
ProBook 6460b,,SRS Premium Sound,2,,,,AMD,Intel,Sandy Bridge,"Verizon Wireless, Sprint, AT&T",Optional,HD Graphics 3000,Mainstream,"Windows 7, Windows Vista, Other",,14 inches,,1.34 inches,,4.46 pounds,Lithium Ion (Li-Ion),,Yes,55 Wh,,,,,,,,,,,,,,,Optional,,,Yes,2.1 + EDR,Optional,"Verizon Wireless, Sprint, AT&T",Optional,Optional,,,Motorola,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,,,,1600 px,900 px,,,,AMD,512 MB,Radeon HD 6470M,Optional,Intel,HD Graphics 3000,,,,,,,,Black,9.11 inches,Mainstream,1.34 inches,4.46 pounds,13.31 inches,,No,Chiclet,4 GB,1333 MHz,8 GB,2,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD Super Multi, BD-ROM",,,1,1,,"ExpressCard/34, ExpressCard/54",1,,,1,,,1,10/100/1000 (Gigabit),1,,,,,,,,,,,,,3,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,HP,ProBook 6460b,http://www.theverge.com/products/probook-6460b/600,Yes,Yes,,Optional,,,"Windows 7, Windows Vista, Other",320 GB,HDD (7200RPM),Yes,"SD, MMC",500 GB,,160 GB,"HDD (7200RPM), Flash Memory (SSD)",,,720p
ProBook 6455b,,,2,,,,,AMD,,"Verizon Wireless, Sprint, AT&T",Integrated,Mobility Radeon HD 4250,Mainstream,"Windows 7, Windows Vista",Tray-loading,14 inches,,1.33 inches,,5 pounds,Lithium Ion (Li-Ion),,Yes,55 Wh,,,,,,,,,,,,,,,Optional,,,Yes,2.1 + EDR,Optional,"Verizon Wireless, Sprint, AT&T",Optional,Optional,,,Motorola,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,,,Integrated,ATI,Mobility Radeon HD 4250,,,,,,,,Silver / Black,9.3 inches,Mainstream,1.33 inches,5 pounds,13.35 inches,,No,Standard,2 GB,1333 MHz,8 GB,2,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD Super Multi",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54",1,,,1,,Yes,1,10/100/1000 (Gigabit),1,,,,,,,,,,,,,3,,1,,AMD,,2.5 GHz,2,Turion II N530,,AMD,2.2 GHz,4,,Phenom II N970,,HP,ProBook 6455b,http://www.theverge.com/products/probook-6455b/599,Yes,Yes,,Optional,,,"Windows 7, Windows Vista",250 GB,HDD (7200RPM),Yes,"SD, MMC",320 GB,,128 MB,"HDD (7200RPM), Flash Memory (SSD)",2 megapixels,,
ProBook 6360b,,SRS Premium Sound,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics 3000,Mainstream,"Windows 7, Windows Vista, Linux, Other",Tray-loading,13.3 inches,,1.32 inches,,4.19 pounds,Lithium Ion (Li-Ion),7.25 hr,Yes,55 Wh,,,,,,,,,,,,,,,Optional,,,Optional,2.1 + EDR,Optional,,Optional,Optional,,,,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1366 px,768 px,13.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 3000,,,,,,,,Gray,8.66 inches,Mainstream,1.32 inches,4.19 pounds,12.68 inches,,No,Chiclet,4 GB,1333 MHz,8 GB,2,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD Super Multi, BD Combo",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54",1,,,1,,Yes,,10/100/1000 (Gigabit),1,,,,,,,,,,,,,3,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,HP,ProBook 6360b,http://www.theverge.com/products/probook-6360b/598,Yes,Yes,,Optional,,,"Windows 7, Windows Vista, Linux, Other",250 GB,HDD (7200RPM),Yes,"SD, MMC",1 TB,,160 GB,"HDD (7200RPM), Flash Memory (SSD)",,,720p
EliteBook 8760w,,SRS Premium Sound,2,,,,AMD,Intel,Sandy Bridge,"Verizon Wireless, Sprint, AT&T",Discrete,HD Graphics 3000,"Rugged, Desktop replacement","Windows 7, Windows Vista, Other",Tray-loading,17.3 inches,,1.47 inches,,7.55 pounds,Lithium Ion (Li-Ion),,Yes,83 Wh,,,,,,,,,,,,,,,Optional,,,Optional,2.1 + EDR,Optional,"Verizon Wireless, Sprint, AT&T",Optional,Optional,,,,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1600 px,900 px,17.3 inches,LCD,,,,,,1920 px,1080 px,,,,AMD,1 GB,FirePro M5950,Discrete,Intel,HD Graphics 3000,,4 GB,Nvidia,Quadro 5010M,,,,Gray,10.7 inches,"Rugged, Desktop replacement",1.47 inches,7.55 pounds,16.4 inches,Optional,No,Chiclet,4 GB,1333 MHz,32 GB,4,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD Super Multi, Blu-ray burner",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,1,,,1,10/100/1000 (Gigabit),1,,,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.5 GHz,2,Core i5-2520M,3.2 GHz,Intel,2.5 GHz,4,Sandy Bridge,Core i7-2920XM,3.5 GHz,HP,EliteBook 8760w,http://www.theverge.com/products/elitebook-8760w/597,Yes,Yes,Yes,Yes,,,"Windows 7, Windows Vista, Other",500 GB,HDD (7200RPM),Yes,"SD, MMC",1.25 TB,,256 GB,"HDD (7200RPM), Flash Memory (SSD)",,30,720p
Latitude E6520,E6520,,2,,,,,Intel,Sandy Bridge,,Switchable,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,15.6 inches,,1.35 inches,,5.52 pounds,Lithium Ion (Li-Ion),,Yes,40 Wh,,,,,,,,,,,,,,,Yes,,,Yes,3.0,Yes,,Optional,Yes,,,,"WiMAX, EV-DO Rev. A, EV-DO Rev. 0, EDGE, GPRS",Yes,"802.11n, 802.11g, 802.11b",Yes,,,LED,Matte,,,1366 px,768 px,15.6 inches,LCD,,,,,,1920 px,1080 px,,,,,,,Switchable,Intel,HD Graphics 3000,,512 MB,Nvidia,NVS 4200M,,,,Black / Silver,10.16 inches,Mainstream,1.35 inches,5.52 pounds,15.12 inches,Optional,Yes,Standard,8 GB,1333 MHz,,,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD±R/RW",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,,,Yes,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2.2 GHz,2,Core i3-2330M,,Intel,2.2 GHz,4,Sandy Bridge,Core i7-2720QM,3.3 GHz,Dell,Latitude E6520,http://www.theverge.com/products/latitude-e6520/595,,,,,,,Windows 7,250 GB,HDD (5400RPM),Yes,,500 GB,,256 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,
Vostro 3450,,,,,,,,Intel,Sandy Bridge,,Optional,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,14 inches,,1.31 inches,,5.02 pounds,Lithium Ion (Li-Ion),,Yes,48 Wh,,,,,,,,,,,,,,,,,,Yes,3.0 + HS,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,,,,,,,,,,1.6 GB,,Optional,Intel,HD Graphics 3000,,1 GB,AMD,Radeon HD 6630M,,,,"Silver, Copper, Red",9.68 inches,Mainstream,1.31 inches,5.02 pounds,13.5 inches,Optional,No,Chiclet,2 GB,1333 MHz,4 GB,2,DDR3,Yes,,Trackpad,DVD±R/RW,Tray-loading,,1,1,,ExpressCard/34,1,,,,,,1,,,,1,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.2 GHz,2,Core i3-2330M,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,Dell,Vostro 3450,http://www.theverge.com/products/vostro-3450/594,,,,,,,Windows 7,250 GB,HDD (7200RPM),Yes,,500 GB,,,HDD (7200RPM),,,
IdeaPad V470,,,2,,,,,Intel,Sandy Bridge,,Optional,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,14 inches,,1.23 inches,,4.81 pounds,,3 hr,Yes,6 cell,,,,,,,,,,,,,,,,,2.4GHz,Yes,2.1 + EDR,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1366 px,768 px,14 inches,,,,,,,,,,,,,,,Optional,Intel,HD Graphics 3000,,1 GB,Nvidia,GeForce 520M,,,,Gray / Silver / Black,9.24 inches,Mainstream,1.23 inches,4.81 pounds,13.39 inches,,No,Chiclet,,1333 MHz,6 GB,,DDR3,,,Trackpad,"DVD Super Multi, BD Combo",Tray-loading,,1,1,,,1,,,,,,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,3,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2 GHz,4,Sandy Bridge,Core i7-2630QM,2.9 GHz,Lenovo,IdeaPad V470,http://www.theverge.com/products/ideapad-v470/593,,,,Yes,,,Windows 7,250 GB,HDD (5400RPM),Yes,"SD, Memory Stick, xD, MMC",750 GB,,,HDD (5400RPM),2 megapixels,,
EliteBook 8560w,,SRS Premium Sound,2,,,,AMD,Intel,Sandy Bridge,"Verizon Wireless, Sprint, AT&T",Discrete,HD Graphics 3000,Mainstream,"Windows 7, Windows Vista, Other",Tray-loading,15.6 inches,,1.36 inches,,6.69 pounds,Lithium Ion (Li-Ion),,Yes,83 Wh,,,,,,,,,,,,,,,Optional,,,Optional,2.1 + EDR,Optional,"Verizon Wireless, Sprint, AT&T",Optional,Optional,,,,"UMTS, 1xRTT, EV-DO Rev. A, EDGE, HSPA+, HSUPA, HSDPA, GPRS",Optional,"802.11n, 802.11g, 802.11b, 802.11a",,,,LED,Matte,,,1600 px,900 px,15.6 inches,LCD,,,,,,1920 px,1080 px,,,,AMD,1 GB,FirePro M5950,Discrete,Intel,HD Graphics 3000,,2 GB,Nvidia,Quadro 2000M,,,,Gray,10.1 inches,Mainstream,1.36 inches,6.69 pounds,15 inches,Optional,No,Chiclet,4 GB,1333 MHz,32 GB,4,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD Super Multi, Blu-ray burner",Tray-loading,,1,1,,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,1,,,1,10/100/1000 (Gigabit),1,,,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.5 GHz,2,Core i5-2520M,3.2 GHz,Intel,2.3 GHz,4,Sandy Bridge,Core i7-2820QM,3.4 GHz,HP,EliteBook 8560w,http://www.theverge.com/products/elitebook-8560w/592,Yes,Yes,Yes,Yes,,,"Windows 7, Windows Vista, Other",500 GB,HDD (7200RPM),Yes,"SD, MMC",1.25 TB,,256 GB,"HDD (7200RPM), Flash Memory (SSD)",,30,720p
Latitude E6320,E6320,,2,,,,,Intel,Sandy Bridge,,Integrated,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,13.3 inches,,1.19 inches,,3.64 pounds,Lithium Ion (Li-Ion),,Yes,30 Wh,,,,,,,,,,,,,,,Optional,,,Yes,3.0,Optional,,Optional,Optional,,,,"WiMAX, EV-DO Rev. A, EV-DO Rev. 0, EDGE, GPRS",Yes,"802.11n, 802.11g, 802.11b",Optional,,,LED,Matte,,,1366 px,768 px,13.3 inches,LCD,,,,,,,,,,,,,,Integrated,Intel,HD Graphics 3000,,,,,,,,Black / Silver,8.79 inches,Mainstream,1.19 inches,3.64 pounds,13.19 inches,Optional,Yes,Standard,8 GB,1333 MHz,,,DDR3,Yes,,Trackpad,DVD±R/RW,Tray-loading,,,,1,"ExpressCard/34, Smart Card",1,,,,,Yes,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,2,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2330M,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,Dell,Latitude E6320,http://www.theverge.com/products/latitude-e6320/591,Yes,,,Optional,,,Windows 7,250 GB,HDD (5400RPM),Yes,,320 GB,,256 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,
VAIO F 2D (Early 2011),"VPCF22BFX/B, VPCF22SFX/W",,2,,,,Nvidia,Intel,Sandy Bridge,,Discrete,,Desktop replacement,Windows 7,Tray-loading,16.4 inches,,1.7 inches,,6.85 pounds,Lithium Ion (Li-Ion),3.5 hr,Yes,5000 mAh,,,,,,,,,,,,,,,,,,Yes,2.1 + EDR,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1920 px,1080 px,16.4 inches,,,,,,,,,,,,Nvidia,1 GB,GeForce GT 540M,Discrete,,,,,,,,,,"White, Black",10.69 inches,Desktop replacement,1.7 inches,6.85 pounds,15.69 inches,Yes,Yes,Chiclet,6 GB,1333 MHz,,2,DDR3,Yes,,Trackpad,BD Combo,Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),1,,1,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2 GHz,4,Core i7-2630QM,2.9 GHz,,,,,,,Sony,VAIO F 2D (Early 2011),http://www.theverge.com/products/vaio-f-2d-early-2011/589,,,,,,,Windows 7,640 GB,HDD (7200RPM),Yes,"SD, Memory Stick Duo",,,,HDD (7200RPM),,,
VAIO F (Late 2011),"VPCF23, VPCF2390X, VPC-F23","Dolby Home Theater technology v4, S-Force Front Surround 3D Technology",2,,Yes,,Nvidia,Intel,Sandy Bridge,,Discrete,,Desktop replacement,Windows 7,Tray-loading,16.4 inches,,1.7 inches,,6.85 pounds,Lithium Ion (Li-Ion),5 hr,Yes,5000 mAh,,,,,,,,,,,,,,,,,,Yes,2.1 + EDR,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,,,,1920 px,1080 px,16.4 inches,,,Yes,,,,1920 px,1080 px,16 inches,,,Nvidia,512 MB,GeForce GT 520M,Discrete,,,,1 GB,Nvidia,GeForce GT 540M,,,,"Black, White",10.69 inches,Desktop replacement,1.7 inches,6.85 pounds,15.69 inches,Yes,Yes,Chiclet,4 GB,1333 MHz,8 GB,,DDR3,Yes,,Trackpad,"DVD/CD-RW combo, BD Combo, Blu-ray burner",Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),1,,1,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.2 GHz,4,Core i7-2670QM,3.1 GHz,Intel,2.5 GHz,4,Sandy Bridge,Core i7-2860QM,3.6 GHz,Sony,VAIO F (Late 2011),http://www.theverge.com/products/vaio-f-late-2011/2854,,,,,,,Windows 7,500 GB,HDD (7200RPM),Yes,"SD, Memory Stick Duo",750 GB,,512 GB,"HDD (7200RPM), Flash Memory (SSD)",,,
Latitude E6420,E6420,,2,,,,,Intel,Sandy Bridge,,Switchable,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,14 inches,,1.28 inches,,4.56 pounds,Lithium Ion (Li-Ion),,Yes,40 Wh,,,,,,,,,,,,,,,Yes,,,Yes,3.0,Yes,,Optional,Yes,,,,"WiMAX, EV-DO Rev. A, EV-DO Rev. 0, EDGE, GPRS",Yes,"802.11n, 802.11g, 802.11b",Yes,,,LED,Matte,,,1366 px,768 px,14 inches,LCD,,,LED,,,1600 px,900 px,14 inches,LCD,,,,,Switchable,Intel,HD Graphics 3000,,512 MB,Nvidia,NVS 4200M,,,,Black / Silver,9.49 inches,Mainstream,1.28 inches,4.56 pounds,13.86 inches,Optional,Yes,Standard,8 GB,1333 MHz,,,DDR3,Yes,,"Trackpad, Pointing stick","DVD-ROM, DVD±R/RW",Tray-loading,,,,1,"ExpressCard/34, ExpressCard/54, Smart Card",1,,,,,Yes,1,10/100/1000 (Gigabit),,,1,,,,,,,,,,,4,,1,,Intel,Sandy Bridge,2.1 GHz,2,Core i3-2310M,,Intel,2.2 GHz,4,Sandy Bridge,Core i7-2720QM,3.3 GHz,Dell,Latitude E6420,http://www.theverge.com/products/latitude-e6420/588,,,,,,,Windows 7,250 GB,HDD (5400RPM),Yes,,500 GB,,256 GB,"HDD (5400RPM), HDD (7200RPM), Flash Memory (SSD)",,,
Vostro 3350,,,,,,,,Intel,Sandy Bridge,,Optional,HD Graphics 3000,Mainstream,Windows 7,Tray-loading,13.3 inches,,1.17 inches,,4.5 pounds,Lithium Ion (Li-Ion),,Yes,4 cell,,,,,,,,,,,,,,,,,,Yes,3.0 + HS,,,Optional,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,,LED,Matte,,,1366 px,768 px,13.3 inches,LCD,,,,,,,,,,,,1.6 GB,,Optional,Intel,HD Graphics 3000,,,AMD,Radeon HD 6490M,,,,"Silver, Copper, Red",9 inches,Mainstream,1.17 inches,4.5 pounds,12.96 inches,Optional,,Chiclet,2 GB,1333 MHz,6 GB,2,DDR3,Yes,,Trackpad,DVD±R/RW,Tray-loading,,1,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,2,1,,Intel,Sandy Bridge,2.2 GHz,2,Core i3-2330M,,Intel,2.7 GHz,2,Sandy Bridge,Core i7-2620M,3.4 GHz,Dell,Vostro 3350,http://www.theverge.com/products/vostro-3350/587,,,,Yes,,,Windows 7,250 GB,HDD (7200RPM),Yes,,750 GB,,,HDD (7200RPM),1 megapixels,,
VAIO F 3D (Early 2011),VPCF21AFX/BI,,2,,,Yes,Nvidia,Intel,Sandy Bridge,,Discrete,,Desktop replacement,Windows 7,Tray-loading,16 inches,,1.7 inches,,6.85 pounds,Lithium Ion (Li-Ion),,Yes,5000 mAh,,,,,,,,,,,,,,3D Glasses (TDG-BR100),,,,Yes,2.1 + EDR,,,,,,,,,Yes,"802.11n, 802.11g, 802.11b",,,Yes,LED,,,,1920 px,1080 px,16 inches,,,,,,,,,,,,Nvidia,1 GB,GeForce GT 540M,Discrete,,,,,,,,,,Black,10.69 inches,Desktop replacement,1.7 inches,6.85 pounds,15.69 inches,Yes,Yes,Chiclet,6 GB,1333 MHz,,2,DDR3,Yes,,Trackpad,BD Combo,Tray-loading,,1,1,,,,,,,,,1,10/100/1000 (Gigabit),1,,1,,,,,,,,,,,1,2,1,,Intel,Sandy Bridge,2.2 GHz,4,Core i7-2720QM,3.3 GHz,,,,,,,Sony,VAIO F 3D (Early 2011),http://www.theverge.com/products/vaio-f-3d-early-2011/585,,,,,,,Windows 7,640 GB,HDD (7200RPM),Yes,"SD, Memory Stick Duo",,,,HDD (7200RPM),,,
